train_data_end,train_data_start,horizon,sku,year_month,final_perdiction,Channel,forecast_month,NetWeight,H1,H2,H3,H4,H5,CrossPlantStatus,LeadTime,ServiceLevel,MrpPurchaser,PdProductDescription,ServiceLevel_value,Standard_Dev,Variability,last_year_demand
2024-05-01,2019-01-01,5,1095,2024-10,517.3856748523652,Export_Re-Export,2024-10,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-VANILLA/COMELLE 2.5KG,1.65,837.736917733326,1.1285387942306901,180.0
2024-05-01,2019-01-01,6,1095,2024-11,17.183327664595936,Export_Re-Export,2024-11,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-VANILLA/COMELLE 2.5KG,1.65,837.736917733326,1.1285387942306901,2520.0
2024-05-01,2019-01-01,1,1917,2024-06,369.244526757627,Export_Re-Export,2024-06,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,36.0
2024-05-01,2019-01-01,2,1917,2024-07,344.82822866820186,Export_Re-Export,2024-07,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,180.0
2024-05-01,2019-01-01,3,1917,2024-08,337.8489584263263,Export_Re-Export,2024-08,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,270.0
2024-05-01,2019-01-01,4,1917,2024-09,334.70204265668315,Export_Re-Export,2024-09,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,138.0
2024-05-01,2019-01-01,5,1917,2024-10,347.47614991080627,Export_Re-Export,2024-10,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,252.0
2024-05-01,2019-01-01,6,1917,2024-11,347.47614991080627,Export_Re-Export,2024-11,1.000,Dairy,Cream,Whipping,Others,,AC,96,0.95,ENLIM,WHIPPING CREAM DAIRY 38%/MILLAC 1L,1.65,2743.6434638390365,0.10982024060478775,182.0
2024-05-01,2021-02-01,1,1938,2024-06,2.8517973935646164,Export_Re-Export,2024-06,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
2024-05-01,2021-02-01,2,1938,2024-07,2.8517973935646164,Export_Re-Export,2024-07,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
2024-05-01,2021-02-01,3,1938,2024-08,2.8517973935646164,Export_Re-Export,2024-08,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
2024-05-01,2021-02-01,4,1938,2024-09,2.8517973935646164,Export_Re-Export,2024-09,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
2024-05-01,2021-02-01,5,1938,2024-10,2.8517973935646164,Export_Re-Export,2024-10,1.000,Dairy,Milk,Uht,Full Cream,,AC,90,0.95,HUICHING,MILK UHT FULL CREAM 3.5%/MF 1L,1.65,9730.100077080402,0.626637424558293,
